player,pos,age,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,year,mpg,current_age,current_pos,min_year,year_in_league
Joel Bolomboy,PF,24,MIL,6,38,11.7,0.521,0.167,1.000,18.6,12.3,15.4,0,2.6,0,18.8,12.6,0,0,0.1,0.079,-2.6,-2.4,-5,0,2018,6.333333333333333,27,PF,2017,1
Joel Embiid,C,22,PHI,31,786,24.1,0.584,0.228,.569,8.5,25.6,17,16,1.7,7.7,17.9,36,0.5,1.5,1.9,0.117,1.9,2.7,4.5,1.3,2017,25.35483870967742,26,C,2017,0
Joel Embiid,C,23,PHI,63,1912,22.9,0.573,0.203,.442,8.4,29.7,19.4,18,1,4.8,15.6,33.4,2.3,3.8,6.2,0.155,2,1.3,3.3,2.6,2018,30.349206349206348,26,C,2017,1
Joel Embiid,C,24,PHI,64,2154,26.1,0.593,0.219,.541,8.1,34,21.4,18.4,1,4.4,13.2,33.3,4.9,3.8,8.7,0.194,4,0.9,4.9,3.8,2019,33.65625,26,C,2017,2
Joel Embiid,C,25,PHI,51,1506,25.8,0.59,0.215,.543,10.3,33.2,21.7,16.9,1.4,3.7,13.8,32.9,3.3,2.7,6,0.192,3.7,1,4.7,2.5,2020,29.529411764705884,26,C,2017,3
Joel Embiid,C,26,PHI,51,1585,30.3,0.636,0.171,.610,8,29.1,18.7,16.2,1.5,3.9,12.2,35.3,5.6,3.2,8.8,0.266,6.2,1,7.2,3.7,2021,31.07843137254902,26,C,2017,4
Joey Dorsey,PF,31,HOU,69,854,11.1,0.507,0.007,.572,13.3,22.7,18,4.4,2.3,2.3,18.4,11.3,0.4,1.5,1.9,0.108,-3.8,0.7,-3.1,-0.2,2015,12.376811594202898,37,PF,2015,0
Joffrey Lauvergne,C,23,DEN,24,268,10.5,0.459,0.18,.315,10.5,20.9,15.5,7.5,1.5,2.9,17.8,19.9,-0.2,0.3,0.1,0.012,-4.8,-0.8,-5.6,-0.2,2015,11.166666666666666,29,C,2015,0
Joffrey Lauvergne,C,24,DEN,59,1041,15.7,0.567,0.139,.182,8.1,23.1,15.4,9.1,0.6,1.2,11.6,19.5,1.6,0.7,2.3,0.105,-0.3,-1.3,-1.6,0.1,2016,17.64406779661017,29,C,2015,1
Joffrey Lauvergne,PF-C,25,TOT,70,980,12.6,0.509,0.292,.217,8,20.2,14.1,10.8,1.3,0.5,13.2,18.5,0.4,1.1,1.5,0.075,-1.5,-0.7,-2.2,-0.1,2017,14,29,C,2015,2
