hoop_math_link,hoop_math_name,hoop_math_match_name,sref_name,sref_link
CharlestonSo.2021.php,CharlestonSo.,CharlestonSo.,Charleston Southern,charleston-southern
Charlotte2021.php,Charlotte,Charlotte,Charlotte,charlotte
Chattanooga2021.php,Chattanooga,Chattanooga,Chattanooga,chattanooga
ChicagoSt.2021.php,ChicagoSt.,ChicagoSt.,Chicago State,chicago-state
Cincinnati2021.php,Cincinnati,Cincinnati,Cincinnati,cincinnati
Clemson2021.php,Clemson,Clemson,Clemson,clemson
ClevelandSt.2021.php,ClevelandSt.,ClevelandSt.,Cleveland State,cleveland-state
CoastalCarolina2021.php,CoastalCarolina,CoastalCarolina,Coastal Carolina,coastal-carolina
Col.ofCharleston2021.php,Col.ofCharleston,Col.ofCharleston,College of Charleston,college-of-charleston
Colgate2021.php,Colgate,Colgate,Colgate,colgate
Colorado2021.php,Colorado,Colorado,Colorado,colorado
ColoradoSt.2021.php,ColoradoSt.,ColoradoSt.,Colorado State,colorado-state
Columbia2021.php,Columbia,Columbia,Columbia,columbia
CoppinSt.2021.php,CoppinSt.,CoppinSt.,Coppin State,coppin-state
Cornell2021.php,Cornell,Cornell,Cornell,cornell
Creighton2021.php,Creighton,Creighton,Creighton,creighton
Dartmouth2021.php,Dartmouth,Dartmouth,Dartmouth,dartmouth
Davidson2021.php,Davidson,Davidson,Davidson,davidson
Dayton2021.php,Dayton,Dayton,Dayton,dayton
DePaul2021.php,DePaul,DePaul,DePaul,depaul
Delaware2021.php,Delaware,Delaware,Delaware,delaware
DelawareSt.2021.php,DelawareSt.,DelawareSt.,Delaware State,delaware-state
Denver2021.php,Denver,Denver,Denver,denver
DetroitMercy2021.php,DetroitMercy,DetroitMercy,Detroit Mercy,detroit-mercy
Drake2021.php,Drake,Drake,Drake,drake
Drexel2021.php,Drexel,Drexel,Drexel,drexel
Duke2021.php,Duke,Duke,Duke,duke
Duquesne2021.php,Duquesne,Duquesne,Duquesne,duquesne
ETSU2021.php,ETSU,East Tennesee State,East Tennessee State,east-tennessee-state
EastCarolina2021.php,EastCarolina,EastCarolina,East Carolina,east-carolina
EasternIll.2021.php,EasternIll.,EasternIll.,Eastern Illinois,eastern-illinois
EasternKy.2021.php,EasternKy.,EasternKy.,Eastern Kentucky,eastern-kentucky
EasternMich.2021.php,EasternMich.,EasternMich.,Eastern Michigan,eastern-michigan
EasternWash.2021.php,EasternWash.,EasternWash.,Eastern Washington,eastern-washington
Elon2021.php,Elon,Elon,Elon,elon
Evansville2021.php,Evansville,Evansville,Evansville,evansville
FGCU2021.php,FGCU,Florida Gulf Coast,Florida Gulf Coast,florida-gulf-coast
FIU2021.php,FIU,Florida International,Florida International,florida-international
Fairfield2021.php,Fairfield,Fairfield,Fairfield,fairfield
FairleighDickinson2021.php,FairleighDickinson,FairleighDickinson,Fairleigh Dickinson,fairleigh-dickinson
Fla.Atlantic2021.php,Fla.Atlantic,Fla.Atlantic,Florida Atlantic,florida-atlantic
Florida2021.php,Florida,Florida,Florida,florida
FloridaA&M2021.php,FloridaA&M,FloridaA&M,Florida A&M,florida-am
FloridaSt.2021.php,FloridaSt.,FloridaSt.,Florida State,florida-state
Fordham2021.php,Fordham,Fordham,Fordham,fordham
FresnoSt.2021.php,FresnoSt.,FresnoSt.,Fresno State,fresno-state
Furman2021.php,Furman,Furman,Furman,furman
Ga.Southern2021.php,Ga.Southern,Ga.Southern,Georgia Southern,georgia-southern
Gardner-Webb2021.php,Gardner-Webb,Gardner-Webb,Gardner-Webb,gardner-webb
GeorgeMason2021.php,GeorgeMason,GeorgeMason,George Mason,george-mason
GeorgeWashington2021.php,GeorgeWashington,GeorgeWashington,George Washington,george-washington
Georgetown2021.php,Georgetown,Georgetown,Georgetown,georgetown
Georgia2021.php,Georgia,Georgia,Georgia,georgia
GeorgiaSt.2021.php,GeorgiaSt.,GeorgiaSt.,Georgia State,georgia-state
GeorgiaTech2021.php,GeorgiaTech,GeorgiaTech,Georgia Tech,georgia-tech
Gonzaga2021.php,Gonzaga,Gonzaga,Gonzaga,gonzaga
Grambling2021.php,Grambling,Grambling,Grambling,grambling
GrandCanyon2021.php,GrandCanyon,GrandCanyon,Grand Canyon,grand-canyon
GreenBay2021.php,GreenBay,GreenBay,Green Bay,green-bay
Hampton2021.php,Hampton,Hampton,Hampton,hampton
Hartford2021.php,Hartford,Hartford,Hartford,hartford
Harvard2021.php,Harvard,Harvard,Harvard,harvard
Hawaii2021.php,Hawaii,Hawaii,Hawaii,hawaii
